id,比赛时间,必发交易量,更新时间差_小时,必发更新时间
"2331824	2024-11-28 18:00:00	341	2331824	5	2024-11-28 12:50:06",,,,
"2331824	2024-11-28 18:00:00	323	2331824	6	2024-11-28 11:20:04",,,,
"2331824	2024-11-28 18:00:00	323	2331824	6	2024-11-28 11:50:05",,,,
"2331824	2024-11-28 18:00:00	105	2331824	7	2024-11-28 10:20:04",,,,
"2331824	2024-11-28 18:00:00	105	2331824	7	2024-11-28 10:50:05",,,,
"2331824	2024-11-28 18:00:00	99	2331824	8	2024-11-28 09:20:04",,,,
"2331824	2024-11-28 18:00:00	99	2331824	8	2024-11-28 09:50:05",,,,
"2329696	2024-11-23 23:00:00	1254	2329696	0	2024-11-23 22:20:12",,,,
"2329696	2024-11-23 23:00:00	1380	2329696	0	2024-11-23 22:50:14",,,,
"2329696	2024-11-23 23:00:00	1254	2329696	1	2024-11-23 21:03:30",,,,
"2329696	2024-11-23 23:00:00	1254	2329696	1	2024-11-23 21:20:14",,,,
"2329696	2024-11-23 23:00:00	1254	2329696	1	2024-11-23 21:50:14",,,,
"2329696	2024-11-23 23:00:00	1125	2329696	2	2024-11-23 20:20:12",,,,
"2329696	2024-11-23 23:00:00	1125	2329696	2	2024-11-23 20:50:12",,,,
"2329696	2024-11-23 23:00:00	1125	2329696	3	2024-11-23 19:20:12",,,,
"2329696	2024-11-23 23:00:00	1125	2329696	3	2024-11-23 19:50:14",,,,
